"","X","Watershed","SiteName","Visit","Gradient","LWfreq","Braid","Sinuosity","D50","Bldr","Cbl","Gvl","Sndf","bfw","bfd","Planform","Threads","Bedform","Substrate","Confinement","RS_name","Geo_Cond","LONG_DD","LAT_DD","RS"
"106",3,"Tucannon","CBW05583-010495",2262,1,33.78034744,1.06,1.21,70.5,0.84,39.69,50.38,5.13,15.225,0.46,"Meandering","Single","Pool-Riffle","cobble-gravel","UCV","PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed","moderate",NA,NA,"PCgood"
"107",18,"Wenatchee","CBW05583-095403",3466,0.104,53.46,1,1.23,22,0,2.37,60.62,36.09,46.52,1.21,"Meandering","Single","Pool-Riffle","gravel-sand","UCV","ucv_meandering_gravel_bed","good",658612,5305627,"PCgood"
"108",19,"Upper Grande Ronde","CBW05583-108010",2014,1,43.91475041,1,1.395,26,0.545,25.545,51.755,17.15,6.505,0.285,"Meandering","Single","Pool-Riffle","cobble-gravel","UCV","ucv_lowSin_gravel_bed","good",NA,NA,"PCgood"
"109",38,"Upper Grande Ronde","CBW05583-235322",2019,0.8,13.097752,1.4,1.24,55,5.28,29.72,39.44,10.86,15.04,0.4,"Wandering","Transitional","Pool-Riffle","cobble-gravel ","PCV","pcv_margin_controlled_dfp","good",NA,NA,"PCgood"
"110",58,"Lemhi","CBW05583-452047",1448,0.365,21.3244626,1.11,1.345,19,0.45,12.545,62.045,21.385,14.695,0.35,"Wandering","Transitional","Pool-Riffle","gravel-sand","UCV","UCV_Meandering_Fine_Grained","moderate",NA,NA,"PCgood"
"111",59,"Upper Grande Ronde","CBW05583-487322",797,1.5,26.65397169,1.155,1.265,54,3.715,43.31,40.695,5.22,8.1,0.23,"Wandering","Transitional","Pool-Riffle","cobble-gravel ","UCV","ucv_lowSin_gravel_bed","moderate",NA,NA,"PCgood"
"112",60,"Upper Grande Ronde","CBW05583-491690",3701,0.7285,75.405,1.27,1.25,54.5,0.665,31.255,45.095,16.47,20.075,0.41,"Wandering","Transitional","Pool-Riffle","cobble-gravel ","UCV","ucv_lowSin_gravel_bed","moderate",NA,NA,"PCgood"
"113",76,"Entiat","ENT00001-3A5",1846,0.205,33.81,1,1.41,47,2.335,16.705,49.115,30.615,35.01,0.81,"Meandering","Single","Pool-Riffle","gravel-sand","UCV","ucv_wandering_planControlled_dfp","moderate",692654,5304562,"PCgood"
"114",77,"Entiat","ENT201301-Tyee Side",2441,0.318,16.31,1.61,1.15,31,0.16,7.82,43.27,41.3,11.14,0.27,"Wandering","Transitional","Pool-Riffle","gravel-sand","UCV","ucv_wandering_gravel_bed","",692633,5304962,"PCgood"
"115",82,"John Day","JDW00001-Mazama A",2790,1,NA,1,1.24,34,6.86,22.64,38.13,27.98,4.32,0.3,"Sinuous","Single","Pool-Riffle","cobble-gravel-sand","PCV","pcv_fanControlled_dfp","",720257,4946012,"PCgood"
"116",90,"Wenatchee","LWIN0001-000041",3275,0.158,24.79,1,1.465,24,3.07,5.47,51.865,30.4,40.58,1.15,"Meandering","Single","Pool-Riffle","gravel-sand","UCV","Moderate to High Sinuosity Gravel-Sand Bed",NA,NA,NA,"PCgood"
"117",107,"Wenatchee","WENMASTER-000195",2563,0.922,28.16420585,1,1.46,52,0,40.69,47.7,9.65,10.09,0.43,"Meandering","Single","Pool-Riffle","gravel-sand","UCV","ucv_alluvial_fan","good",669782,5308280,"PCgood"
"118",15,"Entiat","CBW05583-055979",3979,0.774,156.09,1.93,1.16,97,10.25,43.95,31.5,6.69,45.55,0.7,"Anabranching","Multi","Pool-Riffle","cobble-gravel","PCV","Low to Moderate Sinuosity Planform-Controlled Discontinuous Floodplain","good",684190,5314041,"PCintact"
"119",24,"Tucannon","CBW05583-170443",4147,1,81.505,1.72,1.13,51.5,2.03,21.36,34.75,10.52,25.08,0.57,"Anabranching","Multi","Pool-Riffle","cobble-gravel","UCV","low-moderate sinuosity wandering gravel bed",NA,NA,NA,"PCintact"
"120",60,"Upper Grande Ronde","CBW05583-491690",3701,0.7285,75.405,1.27,1.25,54.5,0.665,31.255,45.095,16.47,20.075,0.41,"Wandering","Transitional","Pool-Riffle","cobble-gravel ","UCV","ucv_lowSin_gravel_bed","moderate",NA,NA,"PCintact"
"121",5,"John Day","CBW05583-019570",3528,0.683,NA,1,1.06,79,3.25,36.35,25.13,34.27,11.48,0.54,"Sinuous","Single","Plane-Bed","cobble-gravel-sand","PCV","pcv_margin_controlled_dfp","good",296771,4915623,"WApoor"
"122",12,"Methow ","CBW05583-036697",1521,0.528,6.562002723,1,1.05,86,10.72,52.12,25.52,8.72,33.94,0.76,"Sinuous","Single","Plane-Bed","cobble-gravel","PCV","Low To Moderate Sinuosity Planform-Controlled Discontinuous Floodplain","good",710714,5395006,"WApoor"
"123",33,"John Day","CBW05583-207602",665,0.6935,2.47,1,1.005,59,7.74,36.005,42.445,10.245,5.62,0.33,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_marginControlled_dfp","poor",379895,4938931,"WApoor"
"124",39,"South Fork Salmon","CBW05583-241618",2060,1,15.025,1,1.08,102,29.745,33.37,30.46,5.06,18.675,0.715,"Sinuous","Single","Plane-Bed","boulder-cobble-sand","PCV","pcv_margin_controlled_cobble_bed","moderate",590019,5013154,"WApoor"
"125",43,"Lemhi","CBW05583-315823",1587,1,17.70494503,1,1.09,113,16.75,35.5,37.23,6.84,14.1,0.4,"Sinuous","Single","Plane-Bed","boulder-cobble-gravel","PCV","PCV_LowSin_PlanControlled_DFP","poor",NA,NA,"WApoor"
"126",45,"Tucannon","CBW05583-339839",1486,0.805,5.606050639,1,1.02,56.5,8.38,33.245,47.26,7.605,12.7,0.475,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_lowSin_marginControlled_dfp","poor",NA,NA,"WApoor"
"127",49,"Methow ","CBW05583-385561",1096,0.604,1.856244019,1,1.165,62.5,8.625,34.74,47.13,7.265,39.14,0.625,"Sinuous","Single","Plane-Bed","cobble-gravel","UCV","ucv_lowSin_wandering_cobble_bed","moderate",692538,5385609,"WApoor"
"128",53,"Tucannon","CBW05583-420019",1494,0.366,4.147921253,1,1.01,47,0.66,7.96,75.72,14.24,13.48,0.55,"Straight","Single","Plane-Bed","gravel","PCV","pcv_marginControlled_dfp","poor",NA,NA,"WApoor"
"129",65,"Upper Grande Ronde","dsgn4-000092",2141,1,13.45595049,1,1.06,48,10.87,29.1,37.625,7.135,6.495,0.23,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_marginControlled_gravel_bed","good",NA,NA,"WApoor"
"130",70,"Upper Grande Ronde","dsgn4-000277",2028,1,7.41147406,1,1.05,68,9.42,34.56,39.36,12.3,15.87,0.41,"Sinuous","Single","Plane-Bed","cobble-gravel ","PCV","pcv_margin_controlled_dfp","moderate",NA,NA,"WApoor"
"131",73,"Entiat","ENT00001-1BC7",1783,0.756,0.616617851,1,1.02,146.5,39.68,26.2,21.95,12.1,30.71,0.75,"Straight","Single","Plane-Bed","boulder-cobble-gravel","UCV","ucv_lowSin_cobble_bed","moderate",705691,5282743,"WApoor"
"132",74,"Entiat","ENT00001-1F18",1793,0.9165,23.84810611,1,1.03,171,38.585,32.085,12.135,9.175,32.875,0.785,"Sinuous","Single","Plane-Bed","boulder-cobble","PCV","pcv_marginControlled_dfp","moderate",698169,5289815,"WApoor"
"133",86,"John Day","JDW00001-Upper Owens D",3637,1,1.049418219,1,1.07,33.5,4.045,24.495,44.405,22.925,3.695,0.245,"Sinuous","Single","Plane-Bed","cobble-gravel-sand","PCV","pcv_planControlled_dfp","",724062,4940246,"WApoor"
"134",87,"Lemhi","LEM00002-000004",294,0.607,11.50306748,1,1.03,78,1.58,40.34,58.67,0,21.08,0.54,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_marginControlled_gravel_Bed","moderate",NA,NA,"WApoor"
"135",91,"Minam","MNM00001-000229",2668,0.385,4.28,1,1.1,62,7.93,28.19,45.97,15.27,30.1,0.77,"Sinuous","Single","Plane-Bed","cobble-gravel","PCV","pcv_planControlled_dfp","",449234,5024359,"WApoor"
"136",92,"Minam","MNM00001-000393",2898,0.955,6.42,1,1.02,82,14.85,33.77,27.91,21.42,30.12,0.99,"Sinuous","Single","Plane-Bed","cobble-gravel-sand","PCV","pcv_marginControlled_dfp","",446727,5029642,"WApoor"
"137",96,"John Day","OJD03458-000052",738,0.6315,1.55679705,1,1.085,44.5,7.315,37.385,33.88,20.415,13.345,0.475,"Sinuous","Single","Plane-Bed","cobble-gravel-sand","PCV","pcv_lowSin_marginControlled_cobble_bed","poor",379141,4967126,"WApoor"
"138",3,"Tucannon","CBW05583-010495",2262,1,33.78034744,1.06,1.21,70.5,0.84,39.69,50.38,5.13,15.225,0.46,"Meandering","Single","Pool-Riffle","cobble-gravel","UCV","PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed","moderate",NA,NA,"WAmod"
"139",18,"Wenatchee","CBW05583-095403",3466,0.104,53.46,1,1.23,22,0,2.37,60.62,36.09,46.52,1.21,"Meandering","Single","Pool-Riffle","gravel-sand","UCV","ucv_meandering_gravel_bed","good",658612,5305627,"WAmod"
"140",27,"Methow ","CBW05583-189385",2546,0.1985,4.396369641,1,1.22,67.5,11.035,40.65,36.505,3.925,67.02,1.12,"Sinuous","Single","Pool-Riffle","cobble-gravel ","UCV","ucv_wandering_cobble-bed ","moderate",716504,5304859,"WAmod"
"141",38,"Upper Grande Ronde","CBW05583-235322",2019,0.8,13.097752,1.4,1.24,55,5.28,29.72,39.44,10.86,15.04,0.4,"Wandering","Transitional","Pool-Riffle","cobble-gravel ","PCV","pcv_margin_controlled_dfp","good",NA,NA,"WAmod"
"142",54,"John Day","CBW05583-423282",2435,1,4.13,1,1.28,42,4.92,18.33,62.26,12.58,6.39,0.26,"Sinuous","Single","Plane-Bed","gravel","PCV","pcv_margin_controlled_dfp","good",312414,4905337,"WAmod"
"143",59,"Upper Grande Ronde","CBW05583-487322",797,1.5,26.65397169,1.155,1.265,54,3.715,43.31,40.695,5.22,8.1,0.23,"Wandering","Transitional","Pool-Riffle","cobble-gravel ","UCV","ucv_lowSin_gravel_bed","moderate",NA,NA,"WAmod"
"144",82,"John Day","JDW00001-Mazama A",2790,1,NA,1,1.24,34,6.86,22.64,38.13,27.98,4.32,0.3,"Sinuous","Single","Pool-Riffle","cobble-gravel-sand","PCV","pcv_fanControlled_dfp","",720257,4946012,"WAmod"
"145",15,"Entiat","CBW05583-055979",3979,0.774,156.09,1.93,1.16,97,10.25,43.95,31.5,6.69,45.55,0.7,"Anabranching","Multi","Pool-Riffle","cobble-gravel","PCV","Low to Moderate Sinuosity Planform-Controlled Discontinuous Floodplain","good",684190,5314041,"WAgood"
"146",24,"Tucannon","CBW05583-170443",4147,1,81.505,1.72,1.13,51.5,2.03,21.36,34.75,10.52,25.08,0.57,"Anabranching","Multi","Pool-Riffle","cobble-gravel","UCV","low-moderate sinuosity wandering gravel bed",NA,NA,NA,"WAgood"
"147",58,"Lemhi","CBW05583-452047",1448,0.365,21.3244626,1.11,1.345,19,0.45,12.545,62.045,21.385,14.695,0.35,"Wandering","Transitional","Pool-Riffle","gravel-sand","UCV","UCV_Meandering_Fine_Grained","moderate",NA,NA,"WAgood"
"148",59,"Upper Grande Ronde","CBW05583-487322",797,1.5,26.65397169,1.155,1.265,54,3.715,43.31,40.695,5.22,8.1,0.23,"Wandering","Transitional","Pool-Riffle","cobble-gravel ","UCV","ucv_lowSin_gravel_bed","moderate",NA,NA,"WAgood"
"149",60,"Upper Grande Ronde","CBW05583-491690",3701,0.7285,75.405,1.27,1.25,54.5,0.665,31.255,45.095,16.47,20.075,0.41,"Wandering","Transitional","Pool-Riffle","cobble-gravel ","UCV","ucv_lowSin_gravel_bed","moderate",NA,NA,"WAgood"
"150",15,"Entiat","CBW05583-055979",3979,0.774,156.09,1.93,1.16,97,10.25,43.95,31.5,6.69,45.55,0.7,"Anabranching","Multi","Pool-Riffle","cobble-gravel","PCV","Low to Moderate Sinuosity Planform-Controlled Discontinuous Floodplain","good",684190,5314041,"WAintact"
"151",24,"Tucannon","CBW05583-170443",4147,1,81.505,1.72,1.13,51.5,2.03,21.36,34.75,10.52,25.08,0.57,"Anabranching","Multi","Pool-Riffle","cobble-gravel","UCV","low-moderate sinuosity wandering gravel bed",NA,NA,NA,"WAintact"
"152",31,"Upper Grande Ronde","CBW05583-199103",85,3,6.600037715,1,1.05,55,3.29,39.05,37.58,5.83,3.63,0.22,"Sinuous","Single","Plane-Bed","cobble-gravel","CV","cv_cobble_bed","moderate",NA,NA,"CVpoor"
"153",46,"John Day","CBW05583-345970",3161,5,50.39,1,1.09,24,4.07,11.86,42.87,24.91,3.24,0.33,"Sinuous","Single","Rapid","gravel-sand","CV","cv_gravel_bed","good",311310,4908726,"CVpoor"
"154",63,"Entiat","CBW05583-503467",3991,3,26.25,1,1.05,43,16.85,33.28,27.73,13.68,5.25,0.33,"Sinuous","Single","Plane-Bed","cobble-gravel","CV","Confined valley step-cascade",NA,NA,NA,"CVpoor"
"155",66,"Upper Grande Ronde","dsgn4-000161",2145,5,9.851739025,1,1.06,62.5,28.335,26.355,23.975,21.39,7.21,0.43,"Sinuous","Single","Rapid","boulder-cobble-gravel-sand","CV","cv_boulder_bed","good",NA,NA,"CVpoor"
"156",101,"Region 17","PIB00001-2286_3769",937,4,10.8656284,1,1.07,30,8.01,27.79,43.04,15.75,4.25,0.19,"Sinuous","Single","Rapid","cobble-gravel","CV","cv_boulder_bed","",504737,4948586,"CVpoor"
"157",46,"John Day","CBW05583-345970",3161,5,50.39,1,1.09,24,4.07,11.86,42.87,24.91,3.24,0.33,"Sinuous","Single","Rapid","gravel-sand","CV","cv_gravel_bed","good",311310,4908726,"CVmod"
"158",57,"South Fork Salmon","CBW05583-442351",323,5,5.510316537,1,1.04,150,28.34,38.68,23.93,4.78,9.69,0.51,"Straight","Single","Cascade","boulder-cobble-gravel","CV","cv_step_cascade","good",619780,4973498,"CVmod"
"159",66,"Upper Grande Ronde","dsgn4-000161",2145,5,9.851739025,1,1.06,62.5,28.335,26.355,23.975,21.39,7.21,0.43,"Sinuous","Single","Rapid","boulder-cobble-gravel-sand","CV","cv_boulder_bed","good",NA,NA,"CVmod"
"160",101,"Region 17","PIB00001-2286_3769",937,4,10.8656284,1,1.07,30,8.01,27.79,43.04,15.75,4.25,0.19,"Sinuous","Single","Rapid","cobble-gravel","CV","cv_boulder_bed","",504737,4948586,"CVmod"
"161",46,"John Day","CBW05583-345970",3161,5,50.39,1,1.09,24,4.07,11.86,42.87,24.91,3.24,0.33,"Sinuous","Single","Rapid","gravel-sand","CV","cv_gravel_bed","good",311310,4908726,"CVgood"
"162",57,"South Fork Salmon","CBW05583-442351",323,5,5.510316537,1,1.04,150,28.34,38.68,23.93,4.78,9.69,0.51,"Straight","Single","Cascade","boulder-cobble-gravel","CV","cv_step_cascade","good",619780,4973498,"CVgood"
"163",66,"Upper Grande Ronde","dsgn4-000161",2145,5,9.851739025,1,1.06,62.5,28.335,26.355,23.975,21.39,7.21,0.43,"Sinuous","Single","Rapid","boulder-cobble-gravel-sand","CV","cv_boulder_bed","good",NA,NA,"CVgood"
"164",95,"John Day","OJD03458-000017",157,4,18.12375939,1.045,1.16,36,10.5,21.93,42.27,22.22,3.1,0.22,"Sinuous","Single","Pool-Riffle","cobble-gravel-sand","CV","confined valley w/ occasional floodpockets",NA,NA,NA,"CVgood"
"165",101,"Region 17","PIB00001-2286_3769",937,4,10.8656284,1,1.07,30,8.01,27.79,43.04,15.75,4.25,0.19,"Sinuous","Single","Rapid","cobble-gravel","CV","cv_boulder_bed","",504737,4948586,"CVgood"
"166",46,"John Day","CBW05583-345970",3161,5,50.39,1,1.09,24,4.07,11.86,42.87,24.91,3.24,0.33,"Sinuous","Single","Rapid","gravel-sand","CV","cv_gravel_bed","good",311310,4908726,"CVintact"
"167",57,"South Fork Salmon","CBW05583-442351",323,5,5.510316537,1,1.04,150,28.34,38.68,23.93,4.78,9.69,0.51,"Straight","Single","Cascade","boulder-cobble-gravel","CV","cv_step_cascade","good",619780,4973498,"CVintact"
"168",66,"Upper Grande Ronde","dsgn4-000161",2145,5,9.851739025,1,1.06,62.5,28.335,26.355,23.975,21.39,7.21,0.43,"Sinuous","Single","Rapid","boulder-cobble-gravel-sand","CV","cv_boulder_bed","good",NA,NA,"CVintact"
"169",95,"John Day","OJD03458-000017",157,4,18.12375939,1.045,1.16,36,10.5,21.93,42.27,22.22,3.1,0.22,"Sinuous","Single","Pool-Riffle","cobble-gravel-sand","CV","confined valley w/ occasional floodpockets",NA,NA,NA,"CVintact"
"170",99,"Upper Grande Ronde","ORW03446-077704",664,3,78.56678115,1.185,1.2,36.5,6.72,38.99,26.9,8.87,5.2,0.22,"Wandering","Transitional","Pool-Riffle","cobble-gravel","CV","cv_gravel_bed","moderate",NA,NA,"CVintact"
"171",101,"Region 17","PIB00001-2286_3769",937,4,10.8656284,1,1.07,30,8.01,27.79,43.04,15.75,4.25,0.19,"Sinuous","Single","Rapid","cobble-gravel","CV","cv_boulder_bed","",504737,4948586,"CVintact"
